participant,group,max_egner,mean_egner,max_wais,mean_wais
10010,CAB,8,7,7,6.333333333333333
10011,BCA,9,8,8,7
10012,CAB,7,6.333333333333333,6,5
10013,BCA,6,5.333333333333333,7,6.333333333333333
10014,CAB,4,3,4,3.3333333333333335
10015,ACB,8,7,7,6
10016,BAC,7,6.666666666666667,7,6.333333333333333
10017,CBA,7,6,5,4.666666666666667
10018,BAC,9,8,8,7.333333333333333
10019,ACB,7,6.333333333333333,5,4.666666666666667
10020,BCA,4,3,9,8.666666666666666
10021,ABC,8,7.333333333333333,8,7
10022,BCA,7,6.333333333333333,5,4.333333333333333
10023,CBA,6,5.666666666666667,9,8.666666666666666
10024,BAC,5,4.666666666666667,5,4.666666666666667
10025,ABC,6,5.666666666666667,6,5
10026,BCA,8,7.666666666666667,7,6.666666666666667
10027,CAB,5,4.666666666666667,6,5.333333333333333
10028,CAB,9,8.333333333333334,9,8.666666666666666
10029,CBA,7,6.666666666666667,9,8
10030,BAC,8,7.666666666666667,8,7
10031,BAC,6,5.333333333333333,5,4.333333333333333
10032,BCA,5,4.666666666666667,5,4.333333333333333
119238710566,CAB,9,8,9,8.666666666666666
134423588053,CBA,6,5.666666666666667,7,6
176876591960,ABC,7,6.333333333333333,6,5.333333333333333
181625310168,BCA,9,8.666666666666666,9,8
191352558881,BCA,8,7,7,6
230068048695,CAB,9,8.666666666666666,9,8.333333333333334
231023528450,ACB,8,7.333333333333333,8,7.333333333333333
277529272856,CAB,6,5.666666666666667,7,6
294874663208,CAB,4,3.6666666666666665,7,6.333333333333333
318020814820,ABC,7,6.333333333333333,7,6.666666666666667
392002593306,BCA,7,6.666666666666667,6,5.666666666666667
414654074748,CAB,5,4.666666666666667,8,7
458214205270,CAB,7,6.333333333333333,6,5.666666666666667
483748594322,ACB,7,6.333333333333333,7,6
484025127976,BAC,9,8.333333333333334,9,8
501104472111,BCA,8,7.333333333333333,9,8.333333333333334
517308643925,BCA,8,7.333333333333333,8,7.666666666666667
560520040965,CAB,7,6.666666666666667,6,5.333333333333333
582545690541,BAC,9,8.666666666666666,9,8.333333333333334
604128320491,ABC,6,5.333333333333333,9,8
651964771235,ACB,6,5,3,2.3333333333333335
675296385237,ACB,7,6,9,8
678536750213,BCA,7,6,6,5.333333333333333
692323212348,CBA,9,8.666666666666666,9,8
697608015709,BCA,9,8,8,7.333333333333333
730858445772,CBA,7,6.666666666666667,9,8.333333333333334
771719516720,BCA,7,6.333333333333333,6,5.666666666666667
798938289447,BCA,9,8.666666666666666,8,7.666666666666667
822385097411,BAC,8,7,9,8.333333333333334
8233,ABC,5,4.666666666666667,7,6
8242,CBA,8,7,6,5
8251,CBA,7,6.666666666666667,7,6.333333333333333
838440669607,CBA,7,6,6,5.666666666666667
848199286335,CAB,7,6,8,7
8485,BAC,4,3.6666666666666665,6,5
8488,CBA,7,6.666666666666667,5,4.666666666666667
8497,CBA,6,5.666666666666667,7,6.333333333333333
8506,CBA,8,7.666666666666667,9,8.666666666666666
8509,BAC,5,4.666666666666667,6,5.666666666666667
8515,ABC,9,8.333333333333334,9,8.666666666666666
8533,ABC,6,5.666666666666667,7,6.666666666666667
857677498017,CBA,6,5,4,3.6666666666666665
8596,ABC,4,3.3333333333333335,6,5.666666666666667
8644,BCA,5,4.333333333333333,5,4.333333333333333
8665,BAC,7,6.333333333333333,5,4.666666666666667
8668,CAB,8,7.333333333333333,8,7.333333333333333
8761,BAC,6,5.666666666666667,5,4.666666666666667
8767,CAB,7,6.666666666666667,6,5.666666666666667
8791,CAB,6,5.333333333333333,7,6
8800,ACB,9,8.666666666666666,8,7.666666666666667
8803,CBA,6,5.666666666666667,6,5
8812,ABC,7,6.333333333333333,6,5.666666666666667
8815,ACB,8,7.666666666666667,7,6.333333333333333
8824,CBA,9,8.333333333333334,9,8
8827,ACB,7,6.333333333333333,7,6
8833,BAC,8,7.666666666666667,6,5.666666666666667
8842,CAB,8,7,7,6.666666666666667
8845,BCA,8,7.666666666666667,8,7.333333333333333
8857,CAB,8,7.333333333333333,8,7
8863,CAB,7,6,6,5.333333333333333
8866,BCA,9,8.333333333333334,7,6.333333333333333
8875,CBA,6,5.666666666666667,7,6.333333333333333
8896,ACB,4,3.6666666666666665,9,8.666666666666666
8902,CAB,9,8,8,7.666666666666667
8917,BCA,8,7.333333333333333,7,6.333333333333333
8926,CAB,6,5.333333333333333,5,4.666666666666667
8929,CAB,8,7,5,4.333333333333333
8932,CBA,9,8,9,8
8935,CAB,8,7.333333333333333,8,7.333333333333333
8953,CBA,7,6.666666666666667,7,6.333333333333333
8971,CBA,9,8.666666666666666,6,5.666666666666667
8986,BAC,5,4.666666666666667,5,4.666666666666667
916438355576,CBA,9,8,8,7.333333333333333
933126141410,CAB,8,7,7,6.666666666666667
939257332379,CAB,7,6.333333333333333,7,6.333333333333333
957558488938,CAB,6,5.333333333333333,5,4.666666666666667
